Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Return_Probability,Risk_Level
47,47,47,661,444,3,335.96,2,3,1,-215.0,63,1,45,0,2,19.05,0.4745344231949861,Medium
48,48,48,474,317,2,344.31,4,2,1,-155.0,36,1,65,0,0,10.99,0.49455834218712,Medium
49,49,49,438,317,1,297.62,4,2,0,-155.0,52,1,49,0,0,16.9,0.49780686512228345,Medium
50,50,50,164,565,0,23.6,1,1,1,403.0,37,0,4,0,1,6.53,0.47327105722802415,Medium
51,51,51,451,565,4,495.34,3,1,0,403.0,46,0,46,1,0,43.34,0.4925617387146602,Medium
52,52,52,417,565,4,49.47,2,1,0,403.0,53,0,41,0,0,38.09,0.49835236397094673,Medium
53,53,53,436,139,1,359.9,3,1,1,-296.0,55,0,16,1,2,3.01,0.4592544773581585,Medium
54,54,54,42,139,3,283.79,2,1,0,-296.0,42,1,74,1,1,30.81,0.5067214707922345,Medium
55,55,55,119,99,3,352.93,4,0,1,-19.0,34,1,25,2,0,22.83,0.4845746546719325,Medium
56,56,56,399,99,2,353.51,4,0,0,-19.0,39,0,17,1,2,17.72,0.48639184469144875,Medium
57,57,57,630,250,0,301.68,2,0,1,-378.0,47,1,8,3,2,30.59,0.47153068969544315,Medium
58,58,58,491,250,3,129.94,5,0,0,-378.0,65,0,31,3,1,12.83,0.4411256985033374,Medium
59,59,59,43,250,2,16.37,2,0,0,-378.0,32,1,62,0,1,16.08,0.49504604808086006,Medium
60,60,60,664,417,0,389.83,4,3,1,-245.0,40,0,39,2,0,12.23,0.4790884393362224,Medium
61,61,61,675,417,3,344.6,4,3,0,-245.0,28,0,79,3,1,40.95,0.5109236670002332,Medium
62,62,62,345,417,1,195.24,5,3,0,-245.0,53,0,23,2,0,16.1,0.4781686146359531,Medium
63,63,63,324,417,1,428.0,1,3,0,-245.0,50,0,80,1,2,12.39,0.47788586567820407,Medium
64,64,64,552,75,0,429.41,3,3,1,-477.0,53,1,39,1,1,13.22,0.4959489969919123,Medium
65,65,65,153,262,4,280.61,2,1,1,111.0,32,1,92,1,0,2.34,0.4695403356983371,Medium
66,66,66,616,262,0,142.71,2,1,0,111.0,60,0,73,1,1,19.05,0.49792428963860225,Medium
67,67,67,310,147,4,227.79,3,2,1,-161.0,70,0,25,2,1,27.11,0.47512391377680313,Medium
68,68,68,316,530,2,394.08,3,3,1,216.0,62,1,21,0,1,12.27,0.4693151953362298,Medium
69,69,69,527,530,1,266.88,2,3,0,216.0,65,0,23,1,1,21.32,0.47761313870190464,Medium
70,70,70,509,169,4,87.17,4,1,1,-338.0,46,0,46,2,0,32.02,0.49418143730677416,Medium
71,71,71,598,169,4,312.45,4,1,0,-338.0,30,0,2,3,1,33.19,0.47952820675207003,Medium
72,72,72,88,169,4,481.58,3,1,0,-338.0,39,1,97,1,1,22.71,0.4917685907989853,Medium
73,73,73,190,169,1,283.14,5,1,0,-338.0,62,1,38,0,2,17.53,0.49492319682304536,Medium
74,74,74,416,169,4,84.9,5,1,0,-338.0,67,0,38,2,1,46.26,0.5048929682415149,Medium
75,75,75,127,381,2,332.39,5,2,1,256.0,36,1,49,1,1,24.31,0.5076635116401935,Medium
76,76,76,149,381,2,139.6,5,2,0,256.0,34,1,17,3,2,13.87,0.47495766800565437,Medium
77,77,77,98,383,0,185.34,2,2,1,287.0,31,0,28,3,2,36.01,0.5110299980909715,Medium
78,78,78,126,585,4,64.29,2,2,1,461.0,39,1,53,1,0,47.4,0.5185063465232743,Medium
79,79,79,584,585,2,231.65,5,2,0,461.0,58,1,6,1,2,45.83,0.5097530364669014,Medium
80,80,80,91,585,2,44.48,1,2,0,461.0,50,1,78,1,0,27.66,0.49883945245067424,Medium
81,81,81,445,253,1,429.47,5,1,1,-190.0,39,1,1,2,2,44.36,0.5114492326083858,Medium
82,82,82,75,240,2,496.22,5,0,1,167.0,67,1,30,2,1,32.87,0.48174855151744655,Medium
83,83,83,158,659,2,52.19,1,2,1,503.0,21,0,2,1,2,35.14,0.503399849351494,Medium
84,84,84,687,659,0,427.29,3,2,0,503.0,51,1,21,3,2,46.46,0.4954389573231258,Medium
85,85,85,102,659,3,283.68,3,2,0,503.0,49,1,95,0,1,38.31,0.5167605947062928,Medium
86,86,86,430,659,3,255.78,2,2,0,503.0,63,0,48,0,1,34.49,0.4916654083855843,Medium
87,87,87,214,659,0,478.47,4,2,0,503.0,22,0,69,3,2,9.06,0.4709123257318477,Medium
88,88,88,345,267,2,78.94,2,0,1,-76.0,23,0,0,0,0,49.94,0.5351802477707734,Medium
89,89,89,211,267,3,481.66,3,0,0,-76.0,28,1,34,3,1,20.8,0.4605870333787084,Medium
90,90,90,648,267,4,193.16,3,0,0,-76.0,56,1,3,3,0,26.81,0.4498868983192582,Medium
91,91,91,724,586,4,99.21,1,2,1,-136.0,29,0,9,3,1,30.21,0.45845802261069896,Medium
92,92,92,274,420,3,394.71,4,0,1,148.0,66,0,18,2,1,16.01,0.4396398705818609,Medium
93,93,93,209,545,3,230.9,2,1,1,338.0,69,1,1,0,1,26.62,0.4666519100487831,Medium
94,94,94,458,545,1,296.56,1,1,0,338.0,39,0,97,2,2,32.02,0.4978004981024208,Medium
95,95,95,57,545,0,490.55,1,1,0,338.0,62,1,1,3,2,17.9,0.4383382699572558,Medium
96,96,96,168,309,4,496.31,4,1,1,143.0,53,1,87,2,1,10.15,0.4578535389508257,Medium
97,97,97,707,468,4,104.39,2,1,1,-237.0,58,0,41,0,2,28.68,0.4764671110488168,Medium
98,98,98,416,468,1,434.25,5,1,0,-237.0,18,0,82,2,0,7.11,0.47383422383622664,Medium
99,99,99,340,727,0,46.61,1,3,1,389.0,42,1,4,0,1,8.9,0.47551851454390737,Medium
100,100,100,302,727,1,284.49,4,3,0,389.0,48,0,55,0,1,39.82,0.5239762038504117,Medium
101,101,101,486,595,0,169.93,5,3,1,111.0,40,1,35,0,1,27.73,0.52080170911225,Medium
102,102,102,263,595,0,146.37,4,3,0,111.0,23,0,63,1,0,42.55,0.5459161045272207,Medium
103,103,103,616,595,2,444.43,4,3,0,111.0,48,0,20,1,1,28.53,0.4856471275122381,Medium
104,104,104,99,294,3,35.16,3,1,1,197.0,48,0,20,3,1,3.9,0.4454125477282449,Medium
105,105,105,162,294,3,287.93,4,1,0,197.0,66,0,6,1,2,3.37,0.4458285823576813,Medium
106,106,106,245,92,0,448.84,2,0,1,-152.0,60,1,13,2,0,26.3,0.4792207705059255,Medium
107,107,107,281,92,4,168.68,2,0,0,-152.0,48,1,15,3,2,44.53,0.4892226324919286,Medium
108,108,108,655,92,0,466.62,3,0,0,-152.0,24,1,82,1,0,8.36,0.49701304269324154,Medium
109,109,109,604,92,1,51.56,4,0,0,-152.0,37,1,95,0,0,44.74,0.5612522690967097,Medium
110,110,110,516,92,4,79.31,1,0,0,-152.0,37,0,30,2,1,29.18,0.4844177052408707,Medium
111,111,111,580,241,3,315.11,5,1,1,-337.0,50,0,69,3,0,37.68,0.4938873395719792,Medium
112,112,112,497,94,1,259.57,2,2,1,-402.0,55,0,90,0,1,40.28,0.5430120444447191,Medium
113,113,113,434,94,1,137.72,3,2,0,-402.0,45,1,78,1,2,1.13,0.48815014677337293,Medium
114,114,114,6,94,2,464.67,4,2,0,-402.0,54,1,19,2,2,19.21,0.477675803225302,Medium
115,115,115,523,149,4,197.66,4,2,1,-372.0,59,0,89,0,1,42.31,0.5326543751243589,Medium
116,116,116,268,559,0,79.9,4,1,1,293.0,42,0,71,3,0,22.19,0.4867395874893125,Medium
117,117,117,399,623,2,265.23,4,0,1,226.0,57,1,88,0,1,49.85,0.5203826733722363,Medium
118,118,118,337,179,0,91.84,2,2,1,-156.0,56,0,67,0,1,31.58,0.5341207626475244,Medium
119,119,119,102,179,1,468.62,2,2,0,-156.0,31,1,20,2,1,46.77,0.5257873663401706,Medium
120,120,120,585,649,0,245.44,5,0,1,66.0,29,0,28,3,2,25.44,0.4707775230513997,Medium
121,121,121,248,649,4,116.2,2,0,0,66.0,37,1,66,2,1,48.36,0.49068252209616825,Medium
122,122,122,528,649,3,400.21,3,0,0,66.0,69,0,13,3,2,36.32,0.4380309342459608,Medium
123,123,123,550,303,2,490.8,2,0,1,-245.0,37,0,16,0,0,43.37,0.5063439187220757,Medium
124,124,124,67,303,0,310.14,2,0,0,-245.0,54,1,62,3,0,22.6,0.4688064025972783,Medium
125,125,125,719,303,3,247.46,2,0,0,-245.0,48,1,48,2,1,19.97,0.45848175621861814,Medium
126,126,126,13,303,3,255.71,2,0,0,-245.0,57,1,74,0,2,7.64,0.4610266552819539,Medium
127,127,127,427,303,0,172.02,1,0,0,-245.0,46,0,3,0,1,2.75,0.45851437424081065,Medium
128,128,128,334,303,1,170.05,2,0,0,-245.0,23,1,52,1,0,35.55,0.5154677229069583,Medium
129,129,129,464,303,4,314.35,3,0,0,-245.0,22,1,23,0,2,15.81,0.4740314543903491,Medium
130,130,130,420,303,2,319.34,1,0,0,-245.0,54,1,74,2,1,18.74,0.4604731253427529,Medium
131,131,131,509,280,0,219.29,2,0,1,-227.0,56,1,56,0,0,32.59,0.5093812013953167,Medium
132,132,132,45,609,2,174.94,1,1,1,566.0,62,0,43,3,1,22.43,0.45174657751233405,Medium
133,133,133,428,609,3,85.28,2,1,0,566.0,20,0,68,0,0,1.55,0.47397723111321394,Medium
134,134,134,24,4,0,18.83,1,3,1,-20.0,27,1,19,2,2,1.57,0.4979971979376913,Medium
135,135,135,516,194,2,291.09,4,0,1,-320.0,19,0,6,1,0,8.37,0.47223565269759143,Medium
136,136,136,22,159,4,386.51,1,3,1,139.0,27,1,46,0,2,10.19,0.49593341405007024,Medium
137,137,137,563,375,2,285.21,4,2,1,-186.0,32,1,39,1,1,40.21,0.5207290101742957,Medium
138,138,138,212,375,1,238.63,2,2,0,-186.0,46,0,20,0,0,20.89,0.4931346901306924,Medium
139,139,139,464,283,0,16.55,4,0,1,-179.0,21,0,26,0,0,22.61,0.5184638558864584,Medium
140,140,140,647,285,3,161.94,5,0,1,-360.0,68,0,58,2,2,35.96,0.48325674208841446,Medium
141,141,141,209,496,1,173.42,1,3,1,289.0,33,0,28,2,0,26.04,0.4966259587801365,Medium
142,142,142,289,496,2,199.13,4,3,0,289.0,50,0,9,0,0,4.82,0.47412780325102366,Medium
143,143,143,0,496,2,219.56,1,3,0,289.0,24,0,3,1,2,1.05,0.46361412655572715,Medium
144,144,144,580,499,4,288.71,3,1,1,-79.0,60,1,53,0,0,42.11,0.4956735091350881,Medium
145,145,145,282,499,1,66.65,2,1,0,-79.0,58,0,90,3,0,38.8,0.49347562937388173,Medium
146,146,146,650,499,1,328.09,3,1,0,-79.0,59,0,22,2,1,8.73,0.44022954654368174,Medium
147,147,147,717,499,1,222.62,3,1,0,-79.0,53,0,77,3,0,10.03,0.45079537886062276,Medium
148,148,148,665,499,4,404.5,1,1,0,-79.0,31,0,75,2,0,44.89,0.49287964039918447,Medium
149,149,149,653,499,4,438.43,4,1,0,-79.0,32,1,4,0,0,26.75,0.4764336759735052,Medium
150,150,150,609,53,0,402.79,2,3,1,-556.0,23,0,31,3,1,2.22,0.47502031620428664,Medium
151,151,151,273,53,4,140.06,1,3,0,-556.0,42,1,35,2,1,33.08,0.5023242476535263,Medium
152,152,152,565,53,3,255.92,1,3,0,-556.0,18,0,80,1,2,33.02,0.5340425076000729,Medium
153,153,153,658,36,1,444.83,1,1,1,-622.0,20,0,12,3,0,26.84,0.485068059982767,Medium
154,154,154,584,36,2,27.23,3,1,0,-622.0,42,1,52,0,0,49.27,0.5512219982666341,Medium
155,155,155,543,28,0,332.49,4,0,1,-515.0,66,0,38,0,0,34.21,0.516472225870052,Medium
156,156,156,396,28,3,469.69,5,0,0,-515.0,28,0,19,2,0,22.43,0.4818988013963038,Medium
157,157,157,542,28,0,31.93,5,0,0,-515.0,40,1,94,1,2,5.75,0.5036052109504846,Medium
158,158,158,188,28,0,24.41,5,0,0,-515.0,69,1,34,0,1,22.26,0.5089897162208653,Medium
159,159,159,257,600,1,217.79,4,1,1,345.0,40,1,59,3,0,34.27,0.49153294926597246,Medium
160,160,160,307,634,1,434.66,2,2,1,329.0,19,0,80,1,2,49.39,0.537509429182744,Medium
161,161,161,485,634,0,32.48,2,2,0,329.0,57,0,42,2,2,9.27,0.4611037481570089,Medium
162,162,162,552,76,4,231.11,5,0,1,-476.0,40,0,56,0,1,21.38,0.4980953828075819,Medium
163,163,163,116,620,4,291.43,4,1,1,506.0,22,1,71,3,0,8.13,0.4511165413728906,Medium
164,164,164,518,638,2,128.65,1,0,1,122.0,37,0,59,1,1,1.9,0.44154085978307955,Medium
165,165,165,273,576,0,396.48,5,3,1,305.0,69,1,30,1,0,39.19,0.5115774599751851,Medium
166,166,166,72,576,0,300.03,1,3,0,305.0,42,1,90,0,1,46.37,0.5482418045471901,Medium
167,167,167,685,331,0,324.85,5,1,1,-352.0,51,0,63,1,0,20.53,0.49473069907806044,Medium
168,168,168,243,331,4,443.71,3,1,0,-352.0,19,0,96,0,0,46.28,0.5342162514562692,Medium
169,169,169,443,154,0,458.16,5,1,1,-287.0,24,0,54,3,0,5.2,0.47654989559571403,Medium
170,170,170,334,492,1,118.2,5,0,1,160.0,32,1,93,2,2,43.34,0.5266897456409797,Medium
171,171,171,350,546,3,138.23,2,3,1,198.0,28,0,95,3,0,42.31,0.5163995806150473,Medium
172,172,172,603,681,4,47.05,3,2,1,80.0,43,0,22,2,0,45.62,0.4895442527925288,Medium
173,173,173,155,634,4,9.03,5,2,1,481.0,39,1,29,0,2,37.1,0.5149912036513166,Medium
174,174,174,420,634,4,143.73,2,2,0,481.0,49,0,14,3,1,7.07,0.42704086928884044,Medium
175,175,175,618,386,1,381.39,1,0,1,-230.0,24,0,73,1,1,45.86,0.5202752083299776,Medium
176,176,176,603,386,2,140.05,5,0,0,-230.0,67,0,71,3,1,22.06,0.4604404431261542,Medium
177,177,177,564,386,4,326.97,4,0,0,-230.0,26,0,58,3,1,17.41,0.45383671378540696,Medium
178,178,178,94,386,0,130.9,2,0,0,-230.0,59,1,69,2,0,14.17,0.46471754997739745,Medium
179,179,179,376,3,2,80.81,5,2,1,-373.0,61,1,16,2,2,30.75,0.5079494003517308,Medium
180,180,180,139,3,1,233.21,1,2,0,-373.0,54,0,33,1,2,2.79,0.47532127691634996,Medium
181,181,181,630,275,2,244.32,5,2,1,-353.0,56,0,35,3,2,27.21,0.47996507943260586,Medium
182,182,182,303,631,1,69.89,4,3,1,330.0,41,1,20,0,0,32.4,0.5203335735785908,Medium
183,183,183,89,296,4,340.06,3,2,1,209.0,56,0,92,0,1,27.27,0.5086980178991766,Medium
184,184,184,320,165,4,191.81,4,0,1,-153.0,34,0,77,1,0,7.94,0.4767808122285972,Medium
185,185,185,353,165,0,488.64,4,0,0,-153.0,25,1,2,2,2,17.8,0.4825381345281967,Medium
186,186,186,516,114,1,360.81,3,3,1,-401.0,61,1,1,3,1,49.0,0.5125053316879535,Medium
187,187,187,618,431,3,142.79,1,2,1,-185.0,56,1,56,3,1,19.22,0.452740915977855,Medium
188,188,188,206,446,1,356.89,2,1,1,242.0,36,0,27,1,2,32.57,0.5003573147708225,Medium
189,189,189,646,446,1,406.41,1,1,0,242.0,36,1,63,1,0,49.99,0.5270966247521651,Medium
190,190,190,52,446,0,55.35,3,1,0,242.0,62,0,40,1,0,30.11,0.5030923219477113,Medium
191,191,191,341,90,4,323.29,1,2,1,-250.0,55,1,58,2,0,40.46,0.5024661043568537,Medium
192,192,192,631,90,1,178.98,4,2,0,-250.0,27,1,38,0,1,21.41,0.529718549480287,Medium
193,193,193,461,90,3,482.75,3,2,0,-250.0,32,0,35,0,2,42.34,0.5352600327531215,Medium
194,194,194,372,128,1,136.22,2,3,1,-243.0,20,0,34,0,0,25.96,0.5391979451086689,Medium
195,195,195,194,128,3,182.01,4,3,0,-243.0,24,1,6,3,1,27.82,0.5022860042902072,Medium
196,196,196,465,144,2,6.5,5,3,1,-320.0,51,1,72,0,0,23.83,0.533016732239322,Medium
197,197,197,27,144,2,124.46,4,3,0,-320.0,63,1,66,1,2,49.97,0.5485082354461747,Medium
198,198,198,403,144,3,13.04,5,3,0,-320.0,44,0,26,0,1,32.34,0.5335573260652703,Medium
199,199,199,154,144,3,252.78,1,3,0,-320.0,45,1,56,2,2,18.98,0.4863335952327148,Medium
200,200,200,540,144,1,82.57,5,3,0,-320.0,62,0,73,0,1,44.8,0.5598828348706336,Medium
201,201,201,155,144,2,47.64,1,3,0,-320.0,19,1,93,2,1,33.04,0.537499129379448,Medium
202,202,202,648,144,2,323.61,2,3,0,-320.0,33,0,14,0,0,9.07,0.4919551479428476,Medium
203,203,203,469,144,1,325.87,4,3,0,-320.0,60,1,19,0,0,27.15,0.5156627510069851,Medium
204,204,204,114,533,1,362.81,5,2,1,421.0,37,1,4,2,0,21.11,0.48256192772561174,Medium
205,205,205,727,533,3,317.9,4,2,0,421.0,68,1,98,0,1,29.84,0.5032678828860058,Medium
206,206,206,604,533,4,419.62,1,2,0,421.0,19,1,93,3,2,40.75,0.5000713483534138,Medium
207,207,207,606,533,3,279.06,5,2,0,421.0,54,1,38,1,0,42.67,0.5108814557900541,Medium
208,208,208,330,533,2,435.0,3,2,0,421.0,64,1,2,1,2,8.42,0.4464164822934778,Medium
209,209,209,566,292,2,358.69,5,3,1,-272.0,68,0,31,2,2,49.22,0.5162401781347707,Medium
210,210,210,172,292,1,321.88,1,3,0,-272.0,60,0,68,0,0,13.48,0.49143805956508013,Medium
211,211,211,344,41,0,198.21,2,2,1,-303.0,67,0,55,1,1,47.3,0.5429026964254241,Medium
212,212,212,651,295,4,54.72,5,2,1,-354.0,69,1,12,1,1,7.16,0.4513346859803069,Medium
213,213,213,310,502,2,488.4,3,2,1,194.0,51,0,90,1,2,19.88,0.48484594516909707,Medium
214,214,214,205,407,0,270.92,1,1,1,204.0,36,0,20,3,2,19.62,0.4699843436581693,Medium
215,215,215,693,407,4,465.76,1,1,0,204.0,66,0,63,0,1,22.73,0.46766565697694007,Medium
216,216,216,43,407,4,102.7,1,1,0,204.0,53,1,18,3,1,35.21,0.4670163230058782,Medium
217,217,217,505,407,4,489.62,1,1,0,204.0,61,0,95,3,1,32.34,0.46441357610539363,Medium
218,218,218,325,407,1,221.05,2,1,0,204.0,29,0,14,3,0,18.29,0.46919357434596404,Medium
219,219,219,713,450,1,393.44,3,2,1,-261.0,52,1,67,2,2,33.6,0.4924123263285689,Medium
220,220,220,312,323,1,128.35,3,2,1,13.0,37,1,61,2,2,15.47,0.4933669843527517,Medium
221,221,221,108,334,4,144.86,4,0,1,228.0,64,1,15,1,1,7.51,0.4453084335390767,Medium
222,222,222,386,334,3,179.56,2,0,0,228.0,28,0,43,0,0,45.92,0.5295876139736433,Medium
223,223,223,159,512,1,409.65,2,2,1,355.0,64,1,16,0,0,43.1,0.5100964830126856,Medium
224,224,224,89,101,3,170.03,3,1,1,13.0,21,1,72,3,2,23.19,0.5023322598595197,Medium
225,225,225,309,101,0,367.8,5,1,0,13.0,61,1,76,2,2,21.98,0.5053244930675044,Medium
226,226,226,194,101,0,143.01,4,1,0,13.0,50,1,67,3,2,46.55,0.5379393605187636,Medium
227,227,227,267,402,0,277.15,1,3,1,137.0,67,1,93,0,1,46.01,0.5442093212709201,Medium
228,228,228,274,402,0,261.91,3,3,0,137.0,65,1,68,0,2,48.16,0.5487763391899981,Medium
229,229,229,156,407,3,427.99,2,1,1,253.0,62,1,29,1,1,15.63,0.45473011496102955,Medium
230,230,230,131,522,3,130.63,1,1,1,393.0,40,0,49,2,1,12.37,0.4573688692453949,Medium
231,231,231,305,522,4,185.67,5,1,0,393.0,33,1,30,3,2,14.27,0.45483163150807,Medium
232,232,232,615,539,3,345.5,5,1,1,-74.0,56,1,54,2,2,23.75,0.4620515751756161,Medium
233,233,233,103,539,0,427.1,4,1,0,-74.0,44,1,0,1,0,8.08,0.45499958097949667,Medium
234,234,234,5,539,4,54.41,2,1,0,-74.0,61,1,79,1,0,22.8,0.4679180976080044,Medium
235,235,235,278,539,3,273.54,1,1,0,-74.0,22,0,77,3,1,12.52,0.45152863390268777,Medium
236,236,236,297,199,3,329.59,4,0,1,-96.0,41,1,15,3,2,8.74,0.4442180800927681,Medium
237,237,237,343,405,3,359.73,5,3,1,64.0,50,0,83,3,2,11.7,0.46929917809204263,Medium
238,238,238,533,597,4,378.25,5,0,1,66.0,27,1,71,1,2,23.41,0.4749178330694919,Medium
239,239,239,641,597,1,150.56,5,0,0,66.0,50,1,81,2,2,4.04,0.45111689469440736,Medium
240,240,240,347,597,4,291.63,1,0,0,66.0,53,1,88,2,0,13.87,0.43550077173016033,Medium
241,241,241,69,483,1,151.4,1,0,1,416.0,24,1,6,1,0,39.16,0.5082463275660876,Medium
242,242,242,417,68,1,89.8,5,3,1,-349.0,43,0,21,3,2,7.86,0.4853953172208524,Medium
243,243,243,390,35,1,246.71,3,2,1,-355.0,18,1,42,2,2,1.18,0.4873962392700879,Medium
244,244,244,590,162,4,150.75,2,0,1,-426.0,24,0,22,1,0,25.88,0.48592313847844676,Medium
245,245,245,197,162,2,478.53,1,0,0,-426.0,64,0,81,0,2,32.12,0.4954968610455253,Medium
246,246,246,418,162,1,72.07,3,0,0,-426.0,67,0,5,1,1,39.03,0.4997246184368498,Medium
247,247,247,586,610,4,331.08,3,1,1,26.0,65,1,54,2,1,33.08,0.4576404881302382,Medium
248,248,248,169,611,0,27.39,3,0,1,444.0,56,0,99,1,0,42.79,0.5239145501155872,Medium
249,249,249,55,721,3,341.03,4,1,1,668.0,69,0,59,2,0,2.42,0.42686688818598856,Medium
250,250,250,36,699,4,299.98,4,0,1,665.0,43,0,78,0,1,35.3,0.49759403416026887,Medium
251,251,251,299,699,2,14.88,4,0,0,665.0,41,1,79,0,2,18.97,0.49288518591411645,Medium
252,252,252,367,479,3,80.88,3,2,1,114.0,35,0,41,3,1,46.78,0.5085069950542723,Medium
253,253,253,479,233,3,450.4,5,0,1,-244.0,42,0,18,2,0,30.89,0.4788840357953866,Medium
254,254,254,708,612,4,382.22,5,0,1,-94.0,51,1,0,1,0,26.81,0.44874322753925544,Medium
255,255,255,300,291,0,485.32,4,3,1,-7.0,60,0,16,0,0,6.08,0.4832547645668404,Medium
256,256,256,604,291,1,80.4,4,3,0,-7.0,50,0,77,2,0,9.56,0.4938245357294272,Medium
